単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
室内,27,26,0.4263,743
泣く,27,26,0.4263,744
ロープ,27,15,0.2459,745
ダブルス,27,27,0.4427,746
通報,27,27,0.4427,747
背後,26,24,0.3935,748
ヘディング,26,25,0.4099,749
上る,26,26,0.4263,750
斜面,26,23,0.3771,751
フリー,26,25,0.4099,752
断,26,26,0.4263,753
入口,26,23,0.3771,754
棚,26,22,0.3607,755
姿勢,26,24,0.3935,756
金具,26,25,0.4099,757
倒す,26,26,0.4263,758
お互い,26,25,0.4099,759
回す,26,25,0.4099,760
眉間,26,23,0.3771,761
湯,26,14,0.2295,762
方,26,25,0.4099,763
向き,26,26,0.4263,764
午後,26,24,0.3935,765
踊り場,26,21,0.3443,766
装着,26,24,0.3935,767
列,26,21,0.3443,768
当日,26,25,0.4099,769
竹,26,16,0.2623,770
なくなる,25,24,0.3935,771
聞く,25,24,0.3935,772
最後,25,25,0.4099,773
走り高跳び,25,25,0.4099,774
親指,25,24,0.3935,775
開放,25,25,0.4099,776
あと,25,25,0.4099,777
強風,25,24,0.3935,778
振り上げる,25,23,0.3771,779
前輪,25,24,0.3935,780
渡り廊下,25,20,0.3279,781
家庭,25,24,0.3935,782
鍵,25,18,0.2951,783
タッチ,25,23,0.3771,784
臀部,25,24,0.3935,785
引っかかる,25,25,0.4099,786
呼ぶ,25,23,0.3771,787
つかまる,25,23,0.3771,788
集合,25,24,0.3935,789
指示,25,24,0.3935,790
自宅,25,20,0.3279,791
級友,25,17,0.2787,792
ピッチングマシン,25,22,0.3607,793
剥離,25,21,0.3443,794
",",25,22,0.3607,795
宿泊,24,22,0.3607,796
部屋,24,22,0.3607,797
全員,24,24,0.3935,798
剣道,24,24,0.3935,799
ブレーキ,24,24,0.3935,800
着く,24,23,0.3771,801
レシーブ,24,23,0.3771,802
軽い,24,24,0.3935,803
腰部,24,23,0.3771,804
通路,24,22,0.3607,805
胸部,24,22,0.3607,806
操作,24,22,0.3607,807
アルコール,24,10,0.164,808
施設,24,20,0.3279,809
ら,24,24,0.3935,810
裂,24,24,0.3935,811
文化,24,22,0.3607,812
ほうき,24,13,0.2131,813
左下,24,23,0.3771,814
チームメイト,24,20,0.3279,815
縄,24,14,0.2295,816
抜く,24,24,0.3935,817
バッターボックス,24,24,0.3935,818
返球,23,22,0.3607,819
校門,23,22,0.3607,820
ジャングルジム,23,19,0.3115,821
濡れる,23,23,0.3771,822
花壇,23,18,0.2951,823
降る,23,23,0.3771,824
外側,23,20,0.3279,825
ショック,23,23,0.3771,826
歩道,23,20,0.3279,827
下る,23,23,0.3771,828
合宿,23,22,0.3607,829
股関節,23,15,0.2459,830
マネージャー,23,23,0.3771,831
体験,23,20,0.3279,832
出入り口,23,23,0.3771,833
子,23,20,0.3279,834
腕骨,23,21,0.3443,835
足元,23,22,0.3607,836
お湯,23,16,0.2623,837
握る,23,23,0.3771,838
結果,23,22,0.3607,839
応援,23,17,0.2787,840
引っ掻く,23,21,0.3443,841
鉛筆,23,15,0.2459,842
屋根,23,17,0.2787,843
うずくまる,23,23,0.3771,844
トランポリン,23,14,0.2295,845
止血,23,23,0.3771,846
バスケット,22,17,0.2787,847
からかう,22,21,0.3443,848
急性,22,21,0.3443,849
本人,22,21,0.3443,850
盤,22,16,0.2623,851
遅れる,22,22,0.3607,852
箱,22,18,0.2951,853
),22,21,0.3443,854
カット,22,22,0.3607,855
見つける,22,22,0.3607,856
ハードル,22,16,0.2623,857
電車,22,13,0.2131,858
眼下,22,22,0.3607,859
座り込む,22,22,0.3607,860
バック,22,21,0.3443,861
型,22,21,0.3443,862
動き,22,19,0.3115,863
定規,22,13,0.2131,864
ストレッチ,22,21,0.3443,865
神経,22,21,0.3443,866
斑,22,20,0.3279,867
胸椎,22,20,0.3279,868
食べる,21,17,0.2787,869
張る,21,20,0.3279,870
プレー,21,21,0.3443,871
続く,21,21,0.3443,872
帰り,21,21,0.3443,873
ペース,21,20,0.3279,874
組む,21,20,0.3279,875
ランドセル,21,19,0.3115,876
ひさし,21,15,0.2459,877
後ろ向き,21,21,0.3443,878
破損,21,18,0.2951,879
門,21,16,0.2623,880
待機,21,21,0.3443,881
腫れる,21,21,0.3443,882
応急,21,21,0.3443,883
ごっこ,21,21,0.3443,884
戻す,21,21,0.3443,885
手足,21,21,0.3443,886
部活,21,21,0.3443,887
ランナー,21,18,0.2951,888
持久走,21,21,0.3443,889
宙返り,21,17,0.2787,890
ゲージ,21,12,0.1968,891
黄,21,19,0.3115,892
救命,21,20,0.3279,893
口唇,20,19,0.3115,894
騎馬,20,12,0.1968,895
クラスメイト,20,18,0.2951,896
素振り,20,20,0.3279,897
伸ばす,20,20,0.3279,898
めまい,20,19,0.3115,899
修学旅行,20,20,0.3279,900
当てる,20,20,0.3279,901
炎,20,15,0.2459,902
中庭,20,20,0.3279,903
地点,20,19,0.3115,904
やる,20,17,0.2787,905
黒板,20,15,0.2459,906
グランド,20,20,0.3279,907
ファースト,20,16,0.2623,908
行事,20,19,0.3115,909
後片付け,20,20,0.3279,910
用具,20,15,0.2459,911
奪う,20,19,0.3115,912
午前,20,20,0.3279,913
荷物,20,18,0.2951,914
経過,20,20,0.3279,915
履く,20,20,0.3279,916
セット,20,13,0.2131,917
ける,20,20,0.3279,918
集団,20,20,0.3279,919
最中,20,20,0.3279,920
短縮,20,20,0.3279,921
不明,20,20,0.3279,922
サーブ,20,12,0.1968,923
失明,20,20,0.3279,924
心臓,20,18,0.2951,925
上級生,19,15,0.2459,926
パンチ,19,17,0.2787,927
観察,19,19,0.3115,928
越える,19,18,0.2951,929
付く,19,19,0.3115,930
吹く,19,17,0.2787,931
雪,19,17,0.2787,932
竹刀,19,11,0.1804,933
入れ,19,13,0.2131,934
遠足,19,19,0.3115,935
課題,19,17,0.2787,936
ミニゲーム,19,19,0.3115,937
冷やす,19,19,0.3115,938
すぎる,19,19,0.3115,939
切傷,19,19,0.3115,940
突き破る,19,19,0.3115,941
