語1,語2,共起事例数,Jaccard（ネットワーク重み）
投げる,負傷,86,0.044147843942505136
れる,野球,86,0.044012282497441144
手,眼,86,0.04261645193260654
他校,試合,85,0.0860323886639676
投げる,野球,85,0.08341511285574092
強打,頭部,85,0.07741347905282331
相手,膝,85,0.07203389830508475
体育,救急,85,0.06955810147299508
休憩,転倒,85,0.05305867665418227
バッター,ボール,85,0.05083732057416268
眼,遊ぶ,85,0.044018643190056966
れる,前歯,85,0.042436345481777334
時間,終了,84,0.08325074331020813
相手,頭,84,0.07130730050933787
くる,野球,84,0.06387832699619772
眼,視野,84,0.056833558863328824
膝,転倒,84,0.0549738219895288
強い,顔面,84,0.05483028720626632
ソフトボール,ボール,84,0.049008168028004666
当たる,跳ね返る,84,0.04861111111111111
手,転倒,84,0.04658901830282862
膝,負傷,84,0.04407135362014691
救急,負傷,84,0.04276985743380855
ぶつける,負傷,84,0.04263959390862944
バット,練習,84,0.03832116788321168
動,細,83,0.9651162790697675
保育,室,83,0.1966824644549763
治療,車,83,0.1490125673249551
捕る,野球,83,0.10479797979797979
バランス,自転車,83,0.09845788849347568
ソフトボール,体育,83,0.0844354018311292
サッカー,体育,83,0.06530291109362707
バランス,顔面,83,0.05574210879785091
体育,前歯,83,0.05327342747111682
れる,床,83,0.04831199068684517
当たる,選手,83,0.043799472295514515
当たる,本,83,0.04106877783275606
外傷,練習,83,0.03810835629017447
病院,練習,83,0.03695458593054319
大腿,部,83,0.03525913338997451
低下,機能,82,0.351931330472103
手術,瘢痕,82,0.1524163568773234
休憩,教室,82,0.08807733619763695
教室,遊ぶ,82,0.07861936720997123
運動,障害,82,0.07677902621722846
口,野球,82,0.07387387387387387
残る,走る,82,0.057787174066243834
くる,相手,82,0.05387647831800263
られる,れる,82,0.05317769130998703
打つ,残る,82,0.05293737895416398
場,顔面,82,0.04449267498643516
滑る,負傷,82,0.04231166150670795
負傷,蹴る,82,0.04207285787583376
転倒,運動,82,0.04139323573952549
倒れる,負傷,82,0.037927844588344126
練習,膝,82,0.03498293515358362
減退,部,82,0.03474576271186441
ボール,転倒,82,0.02933810375670841
細,除,81,0.9642857142857143
動,除,81,0.9529411764705882
ぶつける,走る,81,0.07751196172248803
場,骨折,81,0.06795302013422819
しまう,足,81,0.06216423637759018
しまう,友人,81,0.06103993971363979
倒れる,場,81,0.05716302046577276
転倒,頭部,81,0.052393272962483826
前歯,場,81,0.05209003215434083
くる,試合,81,0.051233396584440226
地面,練習,81,0.03352649006622516
バット,部,81,0.03308823529411765
入る,部,81,0.03181461115475255
失う,意識,80,0.22284122562674094
動,搬送,80,0.19138755980861244
地面,手,80,0.0814663951120163
人,友人,80,0.07532956685499058
体育,治療,80,0.0676246830092984
体育,骨折,80,0.0667779632721202
強打,歯,80,0.06514657980456026
くる,倒れる,80,0.06509357200976404
体育館,相手,80,0.05759539236861051
崩す,顔面,80,0.05423728813559322
治療,眼,80,0.04537719795802609
搬送,負傷,80,0.04071246819338423
形式,練習,80,0.038461538461538464
他校,練習,80,0.03816793893129771
グラウンド,練習,80,0.03736571695469407
ソフトボール,バット,79,0.2598684210526316
搬送,除,79,0.19036144578313252
搬送,細,79,0.18899521531100477
性,治療,79,0.14495412844036698
本,歯,79,0.09681372549019608
バランス,床,79,0.0861504907306434
