前件,後件,項目数,共起事例数,支持度,信頼度,lift
発生場所2=道路 | 通学方法=徒歩,場合別2=下校（降園）中,3,29,0.01831964624131396,0.7837837837837838,9.190590590590592
発生場所2=学校外体育館,場合別1=課外指導 | 競技種目=バスケットボール,3,20,0.012634238787113077,0.5,9.097701149425287
場合別1=課外指導 | 競技種目=バスケットボール,発生場所2=学校外体育館,3,20,0.012634238787113077,0.22988505747126436,9.097701149425287
発生場所2=学校外体育館,場合別2=体育的部活動 | 競技種目=バスケットボール,3,20,0.012634238787113077,0.5,9.097701149425287
場合別2=体育的部活動 | 競技種目=バスケットボール,発生場所2=学校外体育館,3,20,0.012634238787113077,0.22988505747126436,9.097701149425287
和暦=平成 | 通学方法=徒歩,場合別2=下校（降園）中,3,30,0.018951358180669616,0.7692307692307693,9.019943019943021
被災学校種=小 | 通学方法=徒歩,場合別2=下校（降園）中,3,20,0.012634238787113077,0.7692307692307693,9.019943019943021
場合別2=下校（降園）中,和暦=平成 | 通学方法=徒歩,3,30,0.018951358180669616,0.2222222222222222,9.01994301994302
競技種目=バレーボール,場合別2=体育的部活動 | 性別=女,3,24,0.015161086544535692,0.5581395348837209,9.015662078785002
場合別2=体育的部活動 | 性別=女,競技種目=バレーボール,3,24,0.015161086544535692,0.24489795918367346,9.015662078785002
競技種目=ソフトボール,場合別2=体育（保健体育） | 被災学校種=中,3,27,0.017056222362602652,0.36,8.904375
場合別2=体育（保健体育） | 被災学校種=中,競技種目=ソフトボール,3,27,0.017056222362602652,0.421875,8.904375
発生場所2=学校外運動場・競技場,場合別2=体育的部活動 | 発生場所1=学校外（園外）,3,116,0.07327858496525584,0.9747899159663865,8.868347338935573
場合別2=体育的部活動 | 発生場所1=学校外（園外）,発生場所2=学校外運動場・競技場,3,116,0.07327858496525584,0.6666666666666666,8.868347338935573
場合別2=下校（降園）中,通学方法=徒歩,2,32,0.02021478205938092,0.23703703703703705,8.726270456503014
通学方法=徒歩,場合別2=下校（降園）中,2,32,0.02021478205938092,0.7441860465116279,8.726270456503014
通学方法=徒歩,場合別1=通学中 | 場合別2=下校（降園）中,3,32,0.02021478205938092,0.7441860465116279,8.726270456503014
場合別2=下校（降園）中,場合別1=通学中 | 通学方法=徒歩,3,32,0.02021478205938092,0.23703703703703705,8.726270456503014
場合別1=通学中 | 通学方法=徒歩,場合別2=下校（降園）中,3,32,0.02021478205938092,0.7441860465116279,8.726270456503014
場合別1=通学中 | 場合別2=下校（降園）中,通学方法=徒歩,3,32,0.02021478205938092,0.23703703703703705,8.726270456503014
場合別2=下校（降園）中,発生場所1=学校外（園外） | 通学方法=徒歩,3,32,0.02021478205938092,0.23703703703703705,8.726270456503014
通学方法=徒歩,場合別2=下校（降園）中 | 発生場所1=学校外（園外）,3,32,0.02021478205938092,0.7441860465116279,8.726270456503014
