順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
402,履く,靴,0.206897,12,23,47,58,7682
403,不要,装着,0.206897,6,10,25,29,7682
404,引き上げる,泳ぐ,0.206897,6,14,21,29,7682
405,AED,車,0.206557,63,100,268,305,7682
406,原因物:スポーツ用具,試合,0.205907,495,1934,965,2404,7682
407,降る,雨,0.205882,14,34,48,68,7682
408,逃げる,鬼ごっこ,0.204724,52,115,191,254,7682
409,ドア,閉める,0.204545,36,138,74,176,7682
410,減退,視野,0.204545,36,121,91,176,7682
411,保育,園,0.204167,49,182,107,240,7682
412,原因物:乗り物,病院,0.204082,150,622,263,735,7682
413,ICD,後日,0.20339,24,57,85,118,7682
414,前歯,破る,0.203368,157,750,179,772,7682
415,前歯,折,0.203283,161,750,203,792,7682
416,何,度,0.202899,14,48,35,69,7682
417,残存,障害,0.202479,98,241,341,484,7682
418,器,要請,0.20202,20,69,50,99,7682
419,ボール,行動:球技,0.201292,405,1623,794,2012,7682
420,眼,練習,0.200746,592,1473,2068,2949,7682
421,搬送,残る,0.200198,202,414,797,1009,7682
422,大会,球技,0.2,35,174,36,175,7682
423,ICD,除,0.2,23,57,81,115,7682
424,ダブルス,後衛,0.2,7,32,10,35,7682
425,上り,坂,0.2,5,10,20,25,7682
426,房,振盪,0.2,4,13,11,20,7682
427,水泳,飛び込む,0.198198,22,74,59,111,7682
428,特定,終了,0.198113,63,110,271,318,7682
429,待つ,順番,0.197917,19,72,43,96,7682
430,場,残る,0.197865,278,886,797,1405,7682
431,残る,状,0.19732,162,797,186,821,7682
432,ICD,駆け付ける,0.196721,12,57,16,61,7682
433,保育,室,0.196682,83,182,323,422,7682
434,残る,線,0.196517,158,797,165,804,7682
435,残る,痕,0.196496,157,797,159,799,7682
436,細,要請,0.196429,22,84,50,112,7682
437,救急,残る,0.196252,199,416,797,1014,7682
438,手術,病院,0.196,98,335,263,500,7682
439,四肢,高次,0.195402,17,41,63,87,7682
440,担当,教諭,0.195402,17,43,61,87,7682
441,振盪,網膜,0.195122,8,11,38,41,7682
442,かかる,体重,0.195,39,176,63,200,7682
