種別,発生場所1,発生場所2,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
精神・神経障害,学校外（園外）,学校外体育館,39,4.44,0.51,8,878,7682
精神・神経障害,学校外（園外）,その他,32,3.64,0.42,9,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,その他,18,2.05,0.23,10,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,階段,17,1.94,0.22,11,878,7682
精神・神経障害,学校外（園外）,山林野（含スキー場）,9,1.03,0.12,12,878,7682
精神・神経障害,学校内・校舎外（園内・園舎外）,その他,8,0.91,0.1,13,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,実習実験室,7,0.8,0.09,14,878,7682
精神・神経障害,学校外（園外）,公園・遊園地,5,0.57,0.07,15,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,昇降口・玄関,3,0.34,0.04,16,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,遊戯室,3,0.34,0.04,16,878,7682
精神・神経障害,学校外（園外）,海・湖・沼・池,2,0.23,0.03,18,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,ベランダ,1,0.11,0.01,19,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,便所,1,0.11,0.01,19,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,屋上,1,0.11,0.01,19,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,講堂,1,0.11,0.01,19,878,7682
精神・神経障害,学校内・校舎外（園内・園舎外）,水飲み場,1,0.11,0.01,19,878,7682
精神・神経障害,学校内・校舎外（園内・園舎外）,農場,1,0.11,0.01,19,878,7682
精神・神経障害,学校外（園外）,公園,1,0.11,0.01,19,878,7682
聴力障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,60,49.59,0.78,1,121,7682
聴力障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,18,14.88,0.23,2,121,7682
聴力障害,学校内・校舎内（園内・園舎内）,教室（保育室）,12,9.92,0.16,3,121,7682
聴力障害,学校外（園外）,その他,6,4.96,0.08,4,121,7682
聴力障害,学校内・校舎外（園内・園舎外）,プール,5,4.13,0.07,5,121,7682
聴力障害,学校内・校舎内（園内・園舎内）,廊下,4,3.31,0.05,6,121,7682
聴力障害,学校外（園外）,学校外運動場・競技場,4,3.31,0.05,6,121,7682
聴力障害,学校外（園外）,道路,3,2.48,0.04,8,121,7682
聴力障害,学校内・校舎外（園内・園舎外）,その他,2,1.65,0.03,9,121,7682
聴力障害,学校外（園外）,学校外体育館,2,1.65,0.03,9,121,7682
聴力障害,学校内・校舎内（園内・園舎内）,実習実験室,1,0.83,0.01,11,121,7682
聴力障害,学校内・校舎内（園内・園舎内）,講堂,1,0.83,0.01,11,121,7682
聴力障害,学校内・校舎内（園内・園舎内）,階段,1,0.83,0.01,11,121,7682
