列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
通学方法,（欠損）,歯牙障害以外,5771,5630.579015881281,14.875217455498703,True
通学方法,（欠損）,歯牙障害,1321,1461.4209841187192,-14.875217455498678,True
発生場所1,学校内・校舎内（園内・園舎内）,歯牙障害以外,2649,2487.394819057537,9.275958438754817,True
発生場所1,学校内・校舎内（園内・園舎内）,歯牙障害,484,645.6051809424629,-9.27595843875481,True
発生場所1,学校内・校舎外（園内・園舎外）,歯牙障害以外,2331,2328.608044780005,0.13887932876015716,False
発生場所1,学校内・校舎外（園内・園舎外）,歯牙障害,602,604.3919552199948,-0.13887932876014397,False
発生場所1,学校外（園外）,歯牙障害以外,1119,1282.9971361624578,-11.350266613786193,True
発生場所1,学校外（園外）,歯牙障害,497,333.0028638375423,11.350266613786188,True
発生場所2,その他,歯牙障害以外,320,300.90093725592294,2.487616795160261,True
発生場所2,その他,歯牙障害,59,78.09906274407706,-2.487616795160261,True
発生場所2,プール,歯牙障害以外,92,85.74485810986722,1.498664146644594,False
発生場所2,プール,歯牙障害,16,22.255141890132776,-1.498664146644594,False
発生場所2,ベランダ,歯牙障害以外,17,13.496875813590211,2.1028905688255253,True
発生場所2,ベランダ,歯牙障害,0,3.503124186409789,-2.1028905688255257,True
発生場所2,体育館・屋内運動場,歯牙障害以外,1007,994.0052069773496,0.9924380250254625,False
発生場所2,体育館・屋内運動場,歯牙障害,245,257.99479302265036,-0.9924380250254625,False
発生場所2,便所,歯牙障害以外,42,40.49062744077063,0.5242788226140016,False
発生場所2,便所,歯牙障害,9,10.509372559229368,-0.5242788226140009,False
発生場所2,公園,歯牙障害以外,1,0.7939338713876595,0.5094943937808232,False
発生場所2,公園,歯牙障害,0,0.20606612861234053,-0.5094943937808232,False
発生場所2,公園・遊園地,歯牙障害以外,41,42.078495183545954,-0.36752606760132345,False
発生場所2,公園・遊園地,歯牙障害,12,10.921504816454048,0.3675260676013229,False
発生場所2,学校外体育館,歯牙障害以外,133,137.3505597500651,-0.8271279831303445,False
発生場所2,学校外体育館,歯牙障害,40,35.64944024993491,0.8271279831303445,False
発生場所2,学校外運動場・競技場,歯牙障害以外,374,391.4093985941161,-2.0038617127670717,True
発生場所2,学校外運動場・競技場,歯牙障害,119,101.59060140588389,2.0038617127670717,True
発生場所2,実習実験室,歯牙障害以外,152,127.02941942202551,4.932233905042115,True
発生場所2,実習実験室,歯牙障害,8,32.97058057797449,-4.932233905042115,True
発生場所2,屋上,歯牙障害以外,3,2.3818016141629785,0.8825850886525163,False
発生場所2,屋上,歯牙障害,0,0.6181983858370216,-0.8825850886525164,False
発生場所2,山林野（含スキー場）,歯牙障害以外,49,52.39963551158552,-1.0390551560566457,False
発生場所2,山林野（含スキー場）,歯牙障害,17,13.600364488414476,1.0390551560566461,False
発生場所2,廊下,歯牙障害以外,392,387.4397292371778,0.5273964252179262,False
発生場所2,廊下,歯牙障害,96,100.56027076282219,-0.5273964252179245,False
発生場所2,手足洗場,歯牙障害以外,3,2.3818016141629785,0.8825850886525163,False
発生場所2,手足洗場,歯牙障害,0,0.6181983858370216,-0.8825850886525164,False
発生場所2,排水溝,歯牙障害以外,2,1.587867742775319,0.7205807898689066,False
発生場所2,排水溝,歯牙障害,0,0.41213225722468105,-0.7205807898689066,False
発生場所2,教室（保育室）,歯牙障害以外,701,620.8562874251497,7.4762396646745515,True
発生場所2,教室（保育室）,歯牙障害,81,161.1437125748503,-7.476239664674554,True
発生場所2,昇降口・玄関,歯牙障害以外,96,80.98125488154126,3.70118367918653,True
発生場所2,昇降口・玄関,歯牙障害,6,21.018745118458735,-3.701183679186529,True
発生場所2,水飲み場,歯牙障害以外,2,1.587867742775319,0.7205807898689066,False
発生場所2,水飲み場,歯牙障害,0,0.41213225722468105,-0.7205807898689066,False
発生場所2,河川,歯牙障害以外,9,11.115074199427232,-1.398821238878711,False
発生場所2,河川,歯牙障害,5,2.8849258005727676,1.398821238878711,False
発生場所2,海・湖・沼・池,歯牙障害以外,15,13.496875813590211,0.9023104826364066,False
発生場所2,海・湖・沼・池,歯牙障害,2,3.503124186409789,-0.9023104826364068,False
発生場所2,講堂,歯牙障害以外,15,14.290809684977871,0.4137523520558499,False
発生場所2,講堂,歯牙障害,3,3.7091903150221297,-0.4137523520558504,False
発生場所2,農場,歯牙障害以外,7,5.557537099713616,1.3485222611509642,False
発生場所2,農場,歯牙障害,0,1.4424629002863838,-1.348522261150964,False
