単語,歯牙障害_平均TFIDF,歯牙障害以外_平均TFIDF,TFIDF差_歯牙-以外,絶対差
取り,0.0005608775929128626,0.0004612170663276931,9.966052658516946e-05,9.966052658516946e-05
吹き抜け,0.00023487142524987426,0.0003342834069404913,-9.941198169061702e-05,9.941198169061702e-05
か月,0.00025084756760874603,0.00035006418688442685,-9.921661927568082e-05,9.921661927568082e-05
気がつく,0.00036888881266823777,0.0002700564234058122,9.883238926242555e-05,9.883238926242555e-05
合わせる,0.0003285514455708509,0.00022993536837639348,9.861607719445742e-05,9.861607719445742e-05
パイプ,0.0008318075222910359,0.0009299281258317704,-9.812060354073447e-05,9.812060354073447e-05
読む,0.0003269144348263159,0.0002288773129947027,9.80371218316132e-05,9.80371218316132e-05
機関,0.00031618287511603533,0.0004139451288762466,-9.776225376021129e-05,9.776225376021129e-05
見つかる,0.00013070726664124216,0.00022737924234617467,-9.667197570493251e-05,9.667197570493251e-05
休日,0.0003025337429162791,0.00039915352659901756,-9.661978368273843e-05,9.661978368273843e-05
捕手,0.0005412012376362086,0.000637663923172585,-9.646268553637643e-05,9.646268553637643e-05
危険,0.00029662890872151547,0.00020031252244374648,9.631638627776898e-05,9.631638627776898e-05
下半身,0.00020213083978001337,0.000298262060486105,-9.613122070609162e-05,9.613122070609162e-05
大型,0.0004911701154075953,0.000586528022600722,-9.535790719312663e-05,9.535790719312663e-05
幅,0.0004908502635808272,0.0003955563564663582,9.529390711446903e-05,9.529390711446903e-05
揺らす,0.0006476912170624533,0.0005524817155228094,9.520950153964398e-05,9.520950153964398e-05
宿泊,0.0008905786032000029,0.000984983941051804,-9.44053378518011e-05,9.44053378518011e-05
友達,0.005411080890115496,0.0055053512450001065,-9.427035488461088e-05,9.427035488461088e-05
整列,0.00018278427574352056,0.0002769089404228273,-9.412466467930675e-05,9.412466467930675e-05
真似,0.00034002466701019954,0.00043293521158109093,-9.29105445708914e-05,9.29105445708914e-05
トランポリン,0.0010757831142789863,0.0009831542586701961,9.262885560879018e-05,9.262885560879018e-05
三塁,0.0009657898172186914,0.0010581605125961377,-9.237069537744631e-05,9.237069537744631e-05
まね,0.00040074387211046377,0.00030893513472169776,9.180873738876601e-05,9.180873738876601e-05
行事,0.0007043259295746486,0.0007960621706675674,-9.173624109291877e-05,9.173624109291877e-05
補,0.00018804617908795126,0.0002792712138493906,-9.122503476143934e-05,9.122503476143934e-05
帰宅,0.0020659865969620645,0.002156785269026077,-9.079867206401252e-05,9.079867206401252e-05
顧問,0.0012702786682038307,0.0013608831171647356,-9.06044489609049e-05,9.06044489609049e-05
またぐ,0.00014779815966317746,0.0002374280780528888,-8.962991838971134e-05,8.962991838971134e-05
書く,0.00018693734539029498,0.0002759704629726423,-8.903311758234734e-05,8.903311758234734e-05
取り付ける,0.000449371286674624,0.0003604827474660131,8.888853920861089e-05,8.888853920861089e-05
打席,0.001938983437934646,0.0018501121158557596,8.887132207888648e-05,8.887132207888648e-05
走り抜ける,0.0001612691439780817,0.00024953976456691424,-8.827062058883254e-05,8.827062058883254e-05
ボックス,0.00019730033477610595,0.00028492508959773006,-8.762475482162411e-05,8.762475482162411e-05
現場,0.0005270777676766338,0.00043973806266042964,8.733970501620413e-05,8.733970501620413e-05
頭上,0.0002794857512807062,0.0003667830581435805,-8.729730686287426e-05,8.729730686287426e-05
