N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,部 負傷,52,52,0.6769,163
2,練習 打球,52,52,0.6769,164
2,防 球,52,44,0.5728,165
2,転倒 前歯,52,52,0.6769,166
2,当たる 歯,52,52,0.6769,167
2,ぶつける 負傷,52,52,0.6769,168
2,廊下 走る,52,51,0.6639,169
2,部 瘢痕,52,51,0.6639,170
2,球 ネット,51,44,0.5728,171
2,マット 運動,51,51,0.6639,172
2,ボール 追いかける,51,49,0.6379,173
2,調節 力,51,51,0.6639,174
2,手 離す,50,47,0.6118,175
2,当たり 負傷,50,50,0.6509,176
2,バスケットボール 試合,50,50,0.6509,177
2,バッター 打つ,50,50,0.6509,178
2,機能 失う,50,50,0.6509,179
2,時間 廊下,49,49,0.6379,180
2,友人 人,48,46,0.5988,181
2,顔面 負傷,48,48,0.6248,182
2,チーム 選手,48,48,0.6248,183
2,相手 膝,48,47,0.6118,184
2,受診 手術,48,48,0.6248,185
